               Omega               SigmaT1               SigmaT2           SigmaOmega1           SigmaOmega2
  0.124321859036E+02    0.492528006434E-01    0.333382419371E-01    0.541209586902E-01    0.122031546878E-02
  0.124473841749E+02    0.971331968904E-01    0.653422529876E-01    0.555206465828E-01    0.169981268344E-02
  0.124625824462E+02    0.137744992971E+00    0.920877735169E-01    0.551388829771E-01    0.172059750826E-02
  0.124777807175E+02    0.169105798006E+00    0.112349023183E+00    0.539091997957E-01    0.156498241795E-02
  0.124929789887E+02    0.191195294261E+00    0.126228500377E+00    0.539091989782E-01    0.171785524818E-02
  0.125081772600E+02    0.205330595374E+00    0.134706305986E+00    0.544508536302E-01    0.188846500003E-02
  0.125233755313E+02    0.213496193290E+00    0.139175532528E+00    0.563957429889E-01    0.174656491611E-02
  0.125385738026E+02    0.217289194465E+00    0.140745228565E+00    0.567693344035E-01    0.104198404435E-02
  0.125537720738E+02    0.216742902994E+00    0.139491379211E+00    0.566318474281E-01    0.945290551016E-03
  0.125689703451E+02    0.210107401013E+00    0.134349092263E+00    0.562187229734E-01    0.147966891238E-02
  0.125841686164E+02    0.195097193122E+00    0.123942175198E+00    0.562871323941E-01    0.138273968032E-02
  0.125993668877E+02    0.170622199774E+00    0.107686675234E+00    0.575504444629E-01    0.555024946380E-03
  0.126145651589E+02    0.137531802058E+00    0.862325765221E-01    0.575084360093E-01    0.709941549476E-03
  0.126297634302E+02    0.980783030391E-01    0.610894549120E-01    0.582169508578E-01    0.695925280985E-03
  0.126449617015E+02    0.550592988729E-01    0.340668644197E-01    0.586281091838E-01    0.206697468729E-02
  0.126601599728E+02    0.114473002031E-01    0.703551109697E-02    0.574002138178E-01    0.332566370929E-02
  0.126753582440E+02    0.297341998667E-01    0.181519238337E-01    0.613517939961E-01    0.445327723981E-02
  0.126905565153E+02    0.658871978521E-01    0.399506458557E-01    0.580360620028E-01    0.626790684958E-02
  0.127057547866E+02    0.955481007695E-01    0.575418119420E-01    0.590348009182E-01    0.610527048751E-02
  0.127209530579E+02    0.118562601507E+00    0.709136841510E-01    0.620849351457E-01    0.551654814650E-02
  0.127361513291E+02    0.135404303670E+00    0.804299125290E-01    0.584111586340E-01    0.445696225377E-02
  0.127513496004E+02    0.146312206984E+00    0.863078363389E-01    0.615244357042E-01    0.112933173326E-02
  0.127665478717E+02    0.151067703962E+00    0.884926839904E-01    0.624153719138E-01    0.213605527490E-02
  0.127817461430E+02    0.149316698313E+00    0.868543363185E-01    0.635129720524E-01    0.390698071257E-02
  0.127969444142E+02    0.140700593591E+00    0.812657498664E-01    0.604736459565E-01    0.500836229885E-02
  0.128121426855E+02    0.124650597572E+00    0.714850707513E-01    0.620352004896E-01    0.179003968272E-02
  0.128273409568E+02    0.100592203438E+00    0.572763495220E-01    0.605229702047E-01    0.498553200109E-02
  0.128425392281E+02    0.689809024334E-01    0.389951259582E-01    0.670246246401E-01    0.612158468835E-02
  0.128577374994E+02    0.322481989861E-01    0.180982905611E-01    0.647204799069E-01    0.113742455061E-02
  0.128729357706E+02    0.569339981303E-02    0.317200862558E-02    0.668827640533E-01    0.979962385058E-02
  0.128881340419E+02    0.413301996887E-01    0.228581180747E-01    0.608627197035E-01    0.551762835233E-02
  0.129033323132E+02    0.731984004378E-01    0.401850309536E-01    0.600510905490E-01    0.758742841465E-02
  0.129185305845E+02    0.102002702653E+00    0.555831744783E-01    0.678473550984E-01    0.815673805897E-02
  0.129337288557E+02    0.129543095827E+00    0.700638236407E-01    0.646665426307E-01    0.424875025975E-02
  0.129489271270E+02    0.157563298941E+00    0.845787384686E-01    0.692068519974E-01    0.805128013553E-02
  0.129641253983E+02    0.186877802014E+00    0.995563212077E-01    0.674031786729E-01    0.356218172831E-02
  0.129793236696E+02    0.216495305300E+00    0.114457096615E+00    0.571301661200E-01    0.893787199012E-02
  0.129945219408E+02    0.243083894253E+00    0.127529718138E+00    0.624499149606E-01    0.777318214483E-02
  0.130097202121E+02    0.261749505997E+00    0.136263526468E+00    0.673311101246E-01    0.361945788499E-02
  0.130249184834E+02    0.268184512854E+00    0.138529816876E+00    0.771516269611E-01    0.129422644998E-01
  0.130401167547E+02    0.260655194521E+00    0.133588396151E+00    0.674274497300E-01    0.133244202891E-01
  0.130553150259E+02    0.240238502622E+00    0.122155891586E+00    0.716053415844E-01    0.132602058404E-01
  0.130705132972E+02    0.209454998374E+00    0.105659449613E+00    0.738174057790E-01    0.983964631743E-02
  0.130857115685E+02    0.170817703009E+00    0.854815403512E-01    0.677230384300E-01    0.704133015507E-02
  0.131009098398E+02    0.126312494278E+00    0.627022795448E-01    0.717653920668E-01    0.373362331216E-02
  0.131161081110E+02    0.774871036410E-01    0.381539389697E-01    0.708717242175E-01    0.109494115691E-01
  0.131313063823E+02    0.254731997848E-01    0.124406028222E-01    0.775799731216E-01    0.124914161830E-01
  0.131465046536E+02    0.290190000087E-01    0.140560412975E-01    0.935750892872E-01    0.244788871626E-01
  0.131617029249E+02    0.852783024311E-01    0.409652980389E-01    0.709568146405E-01    0.183678410495E-01
  0.131769011961E+02    0.141845807433E+00    0.675717293734E-01    0.739271680734E-01    0.294550797466E-01
  0.131920994674E+02    0.196198895574E+00    0.926807717526E-01    0.730234427437E-01    0.791251998551E-01
  0.132072977387E+02    0.245317295194E+00    0.114905023888E+00    0.703601527349E-01    0.468868579414E-01
  0.132224960100E+02    0.286621391773E+00    0.133109802934E+00    0.958991101261E-01    0.451782194679E-01
  0.132376942812E+02    0.318400591612E+00    0.146601468484E+00    0.453178201727E-01    0.689965653784E-01
  0.132528925525E+02    0.339580088854E+00    0.155003570622E+00    0.117865883087E+00    0.663222348006E-01
  0.132680908238E+02    0.349554687738E+00    0.158168954304E+00    0.809922943212E-01    0.270037221984E-01
  0.132832890951E+02    0.348587095737E+00    0.156349038791E+00    0.826660595046E-01    0.157606876632E-01
  0.132984873664E+02    0.338183492422E+00    0.150343564084E+00    0.100885032035E+00    0.198187357587E-01
  0.133136856376E+02    0.320498496294E+00    0.141213832914E+00    0.860642196124E-01    0.114546151723E-01
  0.133288839089E+02    0.296934187412E+00    0.129658226291E+00    0.889467231191E-01    0.136567653994E-01
  0.133440821802E+02    0.267296701670E+00    0.115662200446E+00    0.997722971805E-01    0.216030086268E-01
  0.133592804515E+02    0.230438202620E+00    0.988050567735E-01    0.687157688264E-01    0.372179430204E-01
  0.133744787227E+02    0.185692504048E+00    0.788886051345E-01    0.856982383833E-01    0.148993050338E-01
  0.133896769940E+02    0.133767604828E+00    0.563033100884E-01    0.985542749180E-01    0.232266098546E-01
  0.134048752653E+02    0.767967998981E-01    0.320225942556E-01    0.833295084198E-01    0.251993546017E-01
  0.134200735366E+02    0.182169992477E-01    0.752466979442E-02    0.131356540581E+00    0.776836312044E-01
  0.134352718078E+02    0.373762995005E-01    0.152922144726E-01    0.769580269225E-01    0.144545689812E+00
  0.134504700791E+02    0.851029977202E-01    0.344864192399E-01    0.128207304078E+00    0.192838411035E+00
  0.134656683504E+02    0.121527597308E+00    0.487722103236E-01    0.208860198130E+00    0.242391552957E+00
  0.134808666217E+02    0.145989701152E+00    0.580201100780E-01    0.474723411739E-01    0.317453011133E+00
  0.134960648929E+02    0.160255700350E+00    0.630655997199E-01    0.313320309493E+00    0.420051797084E+00
  0.135112631642E+02    0.166854694486E+00    0.650134891370E-01    0.219009238903E+00    0.437893434649E+00
  0.135264614355E+02    0.167626202106E+00    0.646629618174E-01    0.159005387826E+00    0.205603123094E+00
  0.135416597068E+02    0.163333505392E+00    0.623734255226E-01    0.590308837895E-01    0.175712050694E+00
  0.135568579780E+02    0.153902500868E+00    0.581757402324E-01    0.388252222646E+00    0.357129823643E+00
  0.135720562493E+02    0.138672307134E+00    0.518822155351E-01    0.242476368034E+00    0.133327495436E+00
  0.135872545206E+02    0.116760902107E+00    0.432333243271E-01    0.132630486781E+00    0.271881589149E+00
  0.136024527919E+02    0.878411978483E-01    0.321862960261E-01    0.426152101519E-01    0.129863902446E-01
  0.136176510631E+02    0.529730990529E-01    0.192060511395E-01    0.899339153992E-01    0.463703895442E-01
  0.136328493344E+02    0.146779995412E-01    0.526522724999E-02    0.660017178910E-01    0.110071803512E-01
  0.136480476057E+02    0.240499991924E-01    0.853472758255E-02    0.466124843832E-01    0.601018810043E-01
  0.136632458770E+02    0.611304007471E-01    0.214591321075E-01    0.546908293633E-01    0.213081152913E-01
  0.136784441482E+02    0.961034968495E-01    0.333679499104E-01    0.674106290827E-01    0.707210078371E-01
  0.136936424195E+02    0.129696592689E+00    0.445357279110E-01    0.960097408443E-01    0.403036365683E-01
  0.137088406908E+02    0.162784397602E+00    0.552758894946E-01    0.950733303418E-01    0.254261741116E-01
  0.137240389621E+02    0.195621892810E+00    0.656803985445E-01    0.880934875213E-01    0.174238474733E-01
  0.137392372334E+02    0.227601006627E+00    0.755508367903E-01    0.778867017194E-01    0.172262121157E-01
  0.137544355046E+02    0.257123291492E+00    0.843730441427E-01    0.823662194570E-01    0.143517017635E-01
  0.137696337759E+02    0.281479209661E+00    0.912967282731E-01    0.931621761998E-01    0.740133268035E-02
  0.137848320472E+02    0.297338008881E+00    0.953134615686E-01    0.933354974321E-01    0.299498046396E-02
  0.138000303185E+02    0.302141189575E+00    0.957096887080E-01    0.949551296795E-01    0.498707583469E-02
  0.138152285897E+02    0.295418590307E+00    0.924638655145E-01    0.954696475817E-01    0.124906924255E-01
  0.138304268610E+02    0.278729498386E+00    0.861887020449E-01    0.108162812229E+00    0.120784353803E-01
  0.138456251323E+02    0.254368007183E+00    0.776974552565E-01    0.104601436345E+00    0.315063124778E-03
  0.138608234036E+02    0.224292203784E+00    0.676671444787E-01    0.106182474449E+00    0.312012316865E-02
  0.138760216748E+02    0.190071299672E+00    0.566292419505E-01    0.123058448711E+00    0.356731050194E-01
  0.138912199461E+02    0.153072103858E+00    0.450319354435E-01    0.873497213922E-01    0.490335139375E-01
  0.139064182174E+02    0.114036403596E+00    0.331212614319E-01    0.138144450967E+00    0.434544293536E-01
  0.139216164887E+02    0.725859999657E-01    0.208109550908E-01    0.110656899538E+00    0.208504737323E-01
  0.139368147599E+02    0.276896003634E-01    0.783550753254E-02    0.150230477117E+00    0.803076242953E-01
  0.139520130312E+02    0.210653003305E-01    0.588251922806E-02    0.774541795942E-01    0.751842222823E-01
  0.139672113025E+02    0.725945010781E-01    0.200021663352E-01    0.765735144390E-01    0.612532315497E-01
  0.139824095738E+02    0.124462001026E+00    0.338312767208E-01    0.128639086773E+00    0.143910026827E+00
  0.139976078450E+02    0.173542305827E+00    0.465290549053E-01    0.197998744607E+00    0.291576847098E+00
  0.140128061163E+02    0.216582104564E+00    0.572671884085E-01    0.133871019402E+00    0.376736700682E+00
  0.140280043876E+02    0.250719487667E+00    0.653673843084E-01    0.237108705104E+00    0.209968643490E+00
  0.140432026589E+02    0.274206310511E+00    0.704796181739E-01    0.205372960258E+00    0.137318327101E+00
  0.140584009301E+02    0.287064790726E+00    0.727277996161E-01    0.305646251382E+00    0.329177722572E+00
  0.140735992014E+02    0.291036605835E+00    0.726644179006E-01    0.338226991187E+00    0.167024157880E+00
  0.140887974727E+02    0.288525998592E+00    0.709789955169E-01    0.254951766844E+00    0.291566579034E+00
  0.141039957440E+02    0.281049191952E+00    0.681102891230E-01    0.613459920433E-01    0.654413213241E-01
  0.141191940152E+02    0.268317490816E+00    0.640438231163E-01    0.290780143548E+00    0.280102764365E+00
  0.141343922865E+02    0.248799398541E+00    0.584770412823E-01    0.132329219904E+00    0.989722596263E-01
  0.141495905578E+02    0.221390396357E+00    0.512283031362E-01    0.120927784842E+00    0.341553926655E+00
  0.141647888291E+02    0.186781406403E+00    0.425406957495E-01    0.123880416260E+00    0.101728671792E+00
  0.141799871003E+02    0.147540494800E+00    0.330676809385E-01    0.269738072363E+00    0.320021228506E+00
  0.141951853716E+02    0.107300601900E+00    0.236600176308E-01    0.287017936497E+00    0.335311620149E+00
  0.142103836429E+02    0.699239000678E-01    0.151654292572E-01    0.121664681619E+00    0.213146810758E+00
  0.142255819142E+02    0.386829003692E-01    0.825005358312E-02    0.245286233158E+00    0.163161235906E+00
  0.142407801855E+02    0.151185998693E-01    0.316991132681E-02    0.163068559752E+00    0.867089114924E-01
  0.142559784567E+02    0.179430004209E-02    0.369754930874E-03    0.767101049327E-01    0.120773400075E+00
  0.142711767280E+02    0.149526996538E-01    0.302763637096E-02    0.214640692746E+00    0.124224880108E+00
  0.142863749993E+02    0.270178001374E-01    0.537374671019E-02    0.137362443132E+00    0.779729661196E-01
  0.143015732706E+02    0.387149006128E-01    0.756174872977E-02    0.175759965776E+00    0.436950733407E-01
  0.143167715418E+02    0.489079989493E-01    0.937800187456E-02    0.230247335860E+00    0.176214117369E+00
  0.143319698131E+02    0.557908006012E-01    0.104989100168E-01    0.120401112638E+00    0.154764566813E+00
  0.143471680844E+02    0.577361993492E-01    0.106596038281E-01    0.159495085548E+00    0.147913788060E+00
  0.143623663557E+02    0.535177998245E-01    0.969074902140E-02    0.210852993356E+00    0.201042202576E+00
  0.143775646269E+02    0.426246002316E-01    0.756720046903E-02    0.109261808453E+00    0.225356502642E+00
  0.143927628982E+02    0.258402004838E-01    0.449604399448E-02    0.283489281260E+00    0.249444348093E+00
  0.144079611695E+02    0.536650000140E-02    0.914794367660E-03    0.112474378809E+00    0.263185427185E+00
  0.144231594408E+02    0.159667003900E-01    0.266548816556E-02    0.248577870038E+00    0.497352484165E+00
  0.144383577120E+02    0.359200015664E-01    0.587018753244E-02    0.358640737713E+00    0.587691327655E+00
  0.144535559833E+02    0.536415986717E-01    0.857805908904E-02    0.844896752522E+00    0.943266778772E+00
  0.144687542546E+02    0.696038976312E-01    0.108868590599E-01    0.757196058655E+00    0.778504113906E+00
  0.144839525259E+02    0.848717018962E-01    0.129782336993E-01    0.525226158698E-01    0.678255637286E+00
  0.144991507971E+02    0.100315600634E+00    0.149898769882E-01    0.451663580318E+00    0.276450653771E+00
  0.145143490684E+02    0.116272397339E+00    0.169694269258E-01    0.516605534483E+00    0.399136847073E+00
  0.145295473397E+02    0.132513195276E+00    0.188792533852E-01    0.210348412502E+00    0.195590225905E+00
  0.145447456110E+02    0.148051500320E+00    0.205796158497E-01    0.414639511978E+00    0.291165433061E+00
  0.145599438822E+02    0.160983905196E+00    0.218201619149E-01    0.143672867789E+00    0.250064301710E+00
  0.145751421535E+02    0.169201105833E+00    0.223496075700E-01    0.377710527961E+00    0.144183447516E+00
  0.145903404248E+02    0.171948894858E+00    0.221199599238E-01    0.344783345548E+00    0.379149443135E-01
  0.146055386961E+02    0.170726701617E+00    0.213755638664E-01    0.298368166323E+00    0.195070257831E+00
  0.146207369673E+02    0.168344795704E+00    0.204995681744E-01    0.377688448555E+00    0.178920762033E+00
  0.146359352386E+02    0.167079702020E+00    0.197732844667E-01    0.627068001893E+00    0.448206999576E+00
  0.146511335099E+02    0.167802393436E+00    0.192853139106E-01    0.461647939004E+00    0.363934319009E+00
  0.146663317812E+02    0.170360192657E+00    0.189982684336E-01    0.896474227359E+00    0.946615422670E+00
  0.146815300525E+02    0.173924699426E+00    0.188038688122E-01    0.430516648233E+00    0.942512044430E+00
  0.146967283237E+02    0.176784798503E+00    0.185127316847E-01    0.832980931443E+00    0.285410999505E+00
  0.147119265950E+02    0.176585003734E+00    0.178934173183E-01    0.244516369927E+01    0.275019517997E+01
  0.147271248663E+02    0.171627700329E+00    0.168107524276E-01    0.405333715836E+01    0.293169651467E+01
  0.147423231376E+02    0.162205606699E+00    0.153405764278E-01    0.698116838286E+01    0.711088760501E+01
  0.147575214088E+02    0.150640994310E+00    0.137396888482E-01    0.316559649159E+01    0.219787228967E+01
  0.147727196801E+02    0.140076696873E+00    0.123055716024E-01    0.234420622624E+01    0.282190550092E+01
  0.147879179514E+02    0.133074894547E+00    0.112444087903E-01    0.382644511808E+01    0.546028652229E+01
  0.148031162227E+02    0.130758494139E+00    0.106113502022E-01    0.391593008123E+01    0.879567815495E+01
  0.148183144939E+02    0.132573500276E+00    0.103162259048E-01    0.561417206587E+01    0.807975556729E+01
  0.148335127652E+02    0.136541694403E+00    0.101703693059E-01    0.148909418312E+01    0.153532677250E+01
  0.148487110365E+02    0.139862403274E+00    0.995305850008E-02    0.271928862761E+01    0.305662026688E+01
  0.148639093078E+02    0.139770999551E+00    0.948324814832E-02    0.132607183184E+01    0.807479860525E+00
  0.148791075790E+02    0.134645193815E+00    0.869016516042E-02    0.340433867067E+01    0.340702719655E+01
  0.148943058503E+02    0.125010997057E+00    0.765586027952E-02    0.132065099558E+01    0.120203700790E+01
  0.149095041216E+02    0.113465502858E+00    0.657524737186E-02    0.304220124010E+01    0.462793931185E+01
  0.149247023929E+02    0.102944001555E+00    0.562740091264E-02    0.228833299646E+00    0.166246441133E+01
  0.149399006641E+02    0.945077985525E-01    0.485653172332E-02    0.473672255889E+01    0.625955861236E+01
  0.149550989354E+02    0.867028981447E-01    0.417198516343E-02    0.783277538933E+00    0.103461645389E+01
  0.149702972067E+02    0.768833979964E-01    0.344870732010E-02    0.329896131094E+01    0.549633065330E+01
  0.149854954780E+02    0.627785995603E-01    0.261172311046E-02    0.361140054825E+01    0.646085937300E+01
  0.150006937492E+02    0.429834015667E-01    0.164865269525E-02    0.343136392937E+00    0.392154312514E+00
  0.150158920205E+02    0.170111991465E-01    0.597376766613E-03    0.427688428529E+01    0.722280349622E+01
  0.150310902918E+02    0.142016997561E-01    0.452827898643E-03    0.503126953369E+01    0.886664789456E+01
  0.150462885631E+02    0.480616986752E-01    0.137754305239E-02    0.211171593894E+01    0.364623371077E+01
  0.150614868343E+02    0.814621001482E-01    0.207290033323E-02    0.164101636343E+01    0.423801059587E+01
  0.150766851056E+02    0.112658903003E+00    0.250532595802E-02    0.622023659997E+01    0.973102291285E+01
  0.150918833769E+02    0.142082601786E+00    0.270495005713E-02    0.447516238482E+01    0.119155368227E+02
  0.151070816482E+02    0.171481296420E+00    0.271718277072E-02    0.973420907744E+01    0.157447202171E+02
  0.151222799195E+02    0.202451705933E+00    0.256316806245E-02    0.496538517325E+01    0.112068543127E+02
  0.151374781907E+02    0.235444396734E+00    0.223289035462E-02    0.250471432243E+01    0.453160201800E+01
  0.151526764620E+02    0.269404709339E+00    0.170119331081E-02    0.417402963372E+01    0.601141214539E+01
  0.151678747333E+02    0.301840990782E+00    0.951822529708E-03    0.255645082223E+01    0.514514389755E+01
  0.151830730046E+02    0.329221099615E+00    0.404188775757E-16    0.657402834422E+00    0.169639737313E+01
  0.151982712758E+02    0.347653687000E+00    0.109355055672E-02    0.347828033364E+00    0.431568576566E+00
